document_id,clean_text,sentiment
doc_0001,go write review dune movi includ thought dune part one throughout difficult part rate movi tri judg stand without compar origin book movi think great cinematographi amaz sound design good act good like visual style interpret variou technolog world dune soundtrack good littl overbear time music part two felt like improv part one one biggest complaint peopl movi pace say first movi drag second rush agre sentiment latter person enjoy slower pace first dune movi second movi definit move quickli first half slow lot second half rush conclus cast good part person disagre cast rebecca ferguson get later first movi especi impress timoth e chalamet paul think better role second part jason momoa perfect pick duncan idaho oscar isaac great job duke leto stellan skarsgard good choic baron harkonnen think could written better realli look forward see christoph walken emperor shaddam unfortun felt pretti lifeless bring much energi scene overal stand dune movi great film know call defin sci fi movi st centuri like peopl say still good definit rewatch would recommend move compar book start get disappoint side movi one biggest issu movi especi second almost complet leav ecolog messag book book use textbook environment scienc class guess filmmak decid messag import enough fremen shown work toward terraform dune green world slowli sure make wind trap plant grass fix dune place goal work toward total commit even though know realiz sever gener power messag think lot peopl need hear nowaday especi refer issu climat chang movi bare mention goal think disservic origin stori diminish fremen charact think fundament issu movi adapt understand one could solv better way main issu adapt book charact difficult relat superhuman insan abil movi lot main charact alter make relat audienc understand chang charact greatli improv book duncan idaho duke leto other like chani jessica reduc strength charact explain later addit book lot complex concept stori plot never stop fulli explain reader suppos pick go along reread understand make littl obtus dune dialogu heavi lot action happen background describ briefli remedi movi remov complex topic add action scene excit well choreograph second movi start feel repetit redund overpow intric plot point first movi cleverli manag insert lot exposit without feel like constantli lore dump part two feel like afraid explain thing first possibl complaint noth happen first movi result second movi much action heavi still want includ complex topic book get bunch action sequenc scene polit complex strung without full explan necessari clarifi easi understand peopl read book would feel confus movi bare take time explain happen move next scene fremen blow spice hauler get direct comparison book start first movi two biggest issu first movi chang jessica dumb mentat start mentat huge import part dune book thufir hawat essenti main charact first book peter de vri terrifi mastermind behind harkonnen plan part trigger paul first vision come jihad name mother tell train mentat birth without knowledg movi word mentat never said paul mentat train brought thufir hawat guy roll eye back head say someth smart disappear halfway mark peter de vri die poison disappoint think wors chang made book chang jessica charact dune book get much feminist go first book femal charact howev jessica make strong main charact complet control mind bodi bene gesserit train almost superhuman strength speed control other voic intern monologu also show almost alway two step ahead everyon except paul movi jessica feel much weaker first movi almost alway cri verg tear make lot believ start kill harkonnen bear hand make scene tent paul get vision part book jessica openli griev much less power move second movi chang get disappoint movi begin paul jessica fremen fight harkonnen battl fight jami get sietch tabr book felt like ad sake start action sequenc fight jessica throw involuntarili bene gesserit total control bodi make sen even though pregnant speak jessica child alia realli charact least like book understand idea go handl toddler walk talk like adult kill man handl jessica give birth movi also realli explain alia pre born piec inform peopl read book could probabl use paul jessica get sietch tabr thing feel lot differ book describ interior sietch cover draperi rug cushion classroom plastic factori workshop movi show sietch interior smooth carv stone rather natur rock wall textil seen essenti water reservoir shown gener depict fremen movi much wors book fremen tight knit commun peopl understand need well even need commun loud jessica feel like need coffe fremen coffe simpli appear without give order movi fremen three thing good stab peopl fanat believ paul peopl hate mahdi propheci believ paul book dissent faction paul realli present chani definit part understand filmmak probabl ad help drive home anti hero worship messag lot peopl miss book could execut better also dislik chang chani book easili fall paul give unwav support think fine want make nuanc movi like way movi want u think love even though constantli show chani rant propheci disagre paul action end leav paul agre marri emperor daughter irulan even though book make clear marri polit refus even touch three child chani instead end definit complic thing go adapt dune messiah complet film trilog run room write peopl probabl read anyway length say enjoy movi think good chang made especi part two disappoint could execut better,positive
doc_0002,hollywood need great stori great director produc best thing studio get hell way let artist creat art dune part creativ beauti tragic mesmer never get bore anticip go happen next read book noth compar deni villeneuv continu amaz effort put film act film top notch saw imax sound earth shatter gonna see movi see largest screen possibl,positive
doc_0003,start say absolut love first movi familiar stori went zero expect complet stun master artwork dune part music sound visual entir world atmospher charact even plot found everyth beauti craft breath fresh air sci fi genr familiar sourc materi consid movi deep desir love second part special consid review get much love first one help feel slight disappoint let start posit cinematographi consist world visual wonder mix practic effect cgi blend perfectli intens dramat sound effect associ thrill daunt soundtrack deliv cours act consist good time around great see javier barden charact develop bring great topic tabl make wonder honest differ first movi second review gener public run time consider almost hour somehow feel strang rush bit odd explain word get mani scene feel contribut narr blue transit scene main charact chang demeanor entir without much build lead movi spend much time tri connect paul fremen yet fail explor inner motiv moment see charact chang give feel miss someth paul betray chani also feel bit irrelev sinc chemistri built first movi seem dissip relationship mother also odd inconsist charact becom dark fairli earli movi one moment belov mother without much share screen time seem almost despis end film without audienc deeper understand relationship dynam newli introduc villain one dimension austin butler charact seem pointless goal get kill almost instantli alongsid baron got much build first movi list actor like florenc pugh christoph walken l seydoux could amaz charact get zero chanc show entir plot paul sister goe drain well mess time start becom promis lead nowher mean could go short movi mani plot gap develop charact properli poorli introduc newcom reli heavili outstand cinematographi sound shame tell excit write prais review honest opinion appar seem align major lot scene drag without much substanc highlight film javier barden charact messag behind danger concept messia cours hope third movi mayb expect lower becom great experi,positive
doc_0004,pleasur watch film earli screen complet blown away dune part everyth one could ask film kind big fan game throne franchis long time sinc iv e encount level world build epic plot stori develop carri awe inspir manner throughout movi progress precis pace toward spectacular climax execut perfectli deni villeneuv continu prove one promis filmmak time would keep high budget epic tale sinc director work today tackl genr good film receiv prais mani great filmmak notabl christoph nolan dark knight trilog oppenheim accur compar villeneuv achiev film empir strike back modern era would highli recommend watch first movi order appreci subtleti foreshadow better though complet necessari sinc movi pretti self contain specif one promin impress strength movi stand without reli heavili first part cours realli want enjoy stori real point watch second part without seen first one howev even watch year ago rememb everi littl plot detail abl catch quickli watch pt understand import detail even smaller one non ideal even someon watch first movi greatli enjoy one self contain despit reli heavili first movi impress highli commend screenplay effort writer timoth e chalamet deliv impress charismat perform point seem like role born play zendaya also give good perform significantli screen time first movi austin butler manag terrifi role villain rebecca ferguson shine one best perform year javier bardem surpris role sometim provid comic relief movi addit film fill top tier actor actress perform role amazingli han zimmer score master expect one step oscar win grammi nomin score pt technic aspect vfx product design sound edit etc top notch award worthi action sequenc absolut mind blow sent chill spine deni direct impecc stori absolut fascin continu develop charact pt even deeper introduc new incred intrigu charact person opinion movi better first part pretti much everi aspect first part excel mainli serv setup posit piec sequel part stori reach climax one strongest climax seen big screen recent decad befit complex work frank herbert wrote mani year ago believ sure hope movi major player next award season line win pretti much guarante hope get love line categori direct even best pictur perhap break stigma present fantasi sci fi genr recent year academi big fan genr unless better competitor releas later elig period mayb time movi like triumph movi serv great wrap stori introduc pt opinion could serv even better set possibl masterpiec dune messiah realli hope get green lit soon miss opportun catch movi imax sinc believ histor piec epic fantasi sci fi cinema movi rememb classic genr extrem recommend,positive
doc_0005,phenomen stuff probabl calm tomorrow right heart beat like crazi brain scream bloodi masterpiec one movi tri control expect beforehand still surpass mani way power spice power kinda turn lie end movi start felt immedi sen tension score cinemat experi imagin feel lie home bed watch headphon reson vibrat sound reverber theater creat epic atmospher part one came peopl said game throne space realli taken much especi sinc peopl said appl tv foundat seri enjoy movi dune bore comparison watch part two howev see world build polit epic grandeur howev first half dune part two pretti ground calm delv live fremen almost feel like two distinct movi first half intric set stage climact third act reinforc charact connect establish dune part one unlik part one focu lore movi devot driven also resembl polit narr especi know hidden puppet behind empir result appear intric web scheme involv empir witch advisor woman spell name lol baron famili despit emperor pull string baron famili still felt like main antagonist second half movi see epic scale dune movi quick pace tell absolut immers absolut love kind mahdi humbl say mahdi theatr burst laughter felt weird expect humour funnier expect live first dune movi alreadi seen usul worm ride scene dune part one reopen bonu content still excit spoil thing visual brillianc expect stun elev everi aspect authent scene made feel charact immers environ rather mere place green screen love portray time pas paul chang eye longer stay bluer eye get despit live plot progress measur pace remain engag draw attent away deliber slow much action battl absolut epic feel like could longer still captiv jessica disappear thought show paul zendeya rest cast realli get much screen time think love babi embryo featu scene batista mask desert whole team suit badass love darker role although think moment felt overli anim gave effect contrast austin butler though wait see charact like fierc intimid psycho girl shiver plate hand gladiat game made chuckl butler also sound like baron time dune part two stand steadi felt complet compar introductori feel part one despit still felt like lay groundwork dune part three messiah leav sen setup movi feel like precursor still manag provid conclus end also think watch part one first said prospect back back view sound like fun afternoon one thing complain stilger mix feel part one javier fierc favorit charact movi though depict religi fanat part done well still miss stilgar walk duke leto atreid disregard felt like differ person still fierc differ love austin butler though sure expect tri best avoid trailer teaser apart dune part one bonu content short ladi charg extract water life insan calv extrem jealou initi convinc timoth e chalamet lead truli own role sequel display act facet seen movi essenti unfold paul atreid come age stori zendaya deliv amaz perform first act focus love stori add depth event movi end zendaya portray transcend typic love stori hope role extend dune messiah hope add complex charact see paul undergo transform son royalti experienc love narr take surpris turn assum author third act although like felt bit rush found solac logic water life spiritu poison drink result profound shift person contrast version paul well jessica strike kinda made sen think watch movi home justic clearli made big screen pretti epic think remain memor one best movi despit februari absolut love,positive
doc_0006,first film product beauti love open scene harkonnen soldier arena fight austin butler last atreid robert yuan actor name fantast battl harvest phenomen script howev left littl bit disappoint guild navig worm use came pas mountain open atom one sequenc initi charg marvel sequenc gunship enter noth sardurkar given enough respect film one scene show respect rose fallen sand rock debri stood ground prepar oncom onslaught instead panick felt film spent time tactic combat scene suppos epic battl end film mayb trim time drag sequenc film first movi better job sardaukar actual fear epic battl end movi less epic poor bautista made act like wimp gloriou fight even retreat much like walken thought poorli cast emperor film perfect actor person villeneuv fault pick script also fail emphas paul kwisatz haderach end movi paul initi abil vagu see futur come centuri genet tinker woman ben gesserat drink water life surviv develop abil see individu past evid scene fremen templ look individu describ past clearli see option futur outcom actual fulfil propheci fremen stori true realli messiah arraki justifi religion realli kwisatz haderach man abil man film appear gloss shame populist charismat man blame like zendaya charact perceiv fool anyon follow fall appeal power give principl critiqu first film enough emot well part better job especi paul surviv water life becom anti hero hell break loo zendaya charact independ woman film interest albeit combat skill luck realist unless buy sardaukar inept part better drama part part great action sequenc besid disappoint mention earlier perfect film dune admir,positive
doc_0007,like love first one appli one person love one even think gener audienc well hope well box offic need dune messiah everyth love go movi also han zimmer book reader say one take liberti first chang like better even part still hit main beat book thing alter biggest chang time jump therefor certain charact fulli appear movi contrari book though still use charact differ way like person know earli year lock oscar nomin movi best pictur best director best adapt screenplay best edit best cinematographi best score best sound best visual effect best costum best product design best makeup hope rebecca ferguson time best support actress guess pretti much everi categori type lol,positive
doc_0008,visual spectacl refreshingli live beyond hype howev niggl itch movi someth chani charact bother grew movi progress googl see other share feel could find prais charact howev consensu written differ book final found articl help describ disconnect felt chani follow write credit given kara kennedi herbert novel dune chani rang role avenu strength influenc power becom paul love begin young woman introduc foreign desert land vision one guid integr fremen commun fierc young fighter well religi leader role sayyadina stand apart paul overse cultur rite young mother final win approv child bene gesserit grandmoth jessica save paul long coma wise enough understand polit necess paul legal marri princess trust negoti marriag contract chani attach paul import part stori reduc simpl one dimension femal charact chani essenti window fremen cultur multi facet charact challeng stereotyp woman faith woman non western cultur continu debat real world meanwhil film dune part one especi dune part two make substanti chang chani charact name make independ end make stereotyp masculin mainli fighter fling paul mother religi figur instead reject associ religi belief practic almost second jami except brief romant entangl paul chani disavow religi element cultur arguabl repres contemporari western cynic view take stori religion must purg empow individu free woman shackl chang chani charact appear intend make free complex follow believ dismiss paul see littl learn relationship mutual exchang partnership someth turn asid independ underli messag chani woman faith like book interest complex charact follow oppress takeaway fremen religi system bad influenc outsid faith make peopl weak fighter killer prefer like woman live sietch wear headscarv discus religi idea carri tribe ancestor bodi chani may also reflect deeper fear increasingli secular west power religion st centuri possibl idea dune oppress group militarili unit religi banner draw strength belief someth greater still much put screen adapt especi given book middl eastern influenc viewer need reassur everyon believ divis someon ration one turn away fundamentalist chani offer contrast perspect voic call reason question religi indoctrin ultim consider chang made chani charact deni villeneuv film adapt alien lover cultur strip mani role book complex gain skeptic offset loss influenc author place commun chani depict film worryingli suggest price independ woman mean faithless alon,neutral
doc_0009,visual music stun like first movi excel action scene cast superb part asid walken emperor opinion great cast noth christoph actor seem well roll still good enough get job done also biggest fan zendaya visual good cast chani constant angri face littl chemistri paul distract chalamet ferguson absolut nail role main issu movi incomplet redux storytel director decid includ possiblli import fascin element scene least stori werd way disappoint sinc technolog avail directoror incorpor bene gesserit werd way martial art paul jessica moment fast almost appear teleport movi emphas incred skill mysteri god like paul jessica would fremen viewer jessica reverend mother transform explain properli serious underperform write explan magnitud signific reverend mother constru properli movi reverend mother serious overpow be strong power influenc fact anoth hidden reverend mother dune signifi properli transform book much poignant littl explan jessica daughter aliah abomin jessica role serious deminish second movi kwisatz haderach found signific explait power inadequ explain explor movi mention earlier signific power reverend mother shown much big deal kwisatz haderach actual much power precienc past memori visual nuanc felt like director cautiou afraid explor mysteri transcedent part stori opinion core stori without feel almost pointless like differ plot paul fight free fremen jessica get nun spiritu job fremen paul shown gift fighter sort special abil look differ anyon el fact paul fight use weird way would almost incomprehebl fremen summari movi visual feast theatric presenc masterpiec fail captur magnitud main charact abil essenc power struggl spice could,positive
doc_0010,dune part epic movi slickli made visual stun explain quit bit friend around read book especi water life scene final battl movi almost hour run time felt overlong villenu focus much spectacl littl substanc beauti movi feel like soul emot connect paul chani vital stori complet lack unbeliev two main charact good look enough absolut zero chemistri screen certain zendaya fine actress thing basic facial express one use scowl direct paul found worst part movi final fight scene short choppi mess felt anticlimact unfulfil harkonen basic reduc bumbl villaini almost cartoonish end super abrupt differ book left wonder filmmak would want sequel want reiter bad movi villenu great creat world look live breath give life individu charact like see tree forest,neutral
